experiment_id,experiment_name,model_name,architecture,strategy,backend,device_name,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,fps,model_load_ms,first_inference_ms,cpu_percent_mean,cpu_percent_max,memory_mb_mean,cpu_temp_celsius,model_size_bytes,model_size_mb,quantization,hostname,tpu_detected,benchmark_runs,warmup_runs,num_threads,duration_seconds,timestamp
exp_20260208_135316_d110,eccv_mobilenetv2_Fuzzy_cpu,mobilenetv2_int8_ptq_Fuzzy.tflite,mobilenetv2,Fuzzy,cpu,raspberrypi,38.444,0.529,38.008,40.747,38.237,39.19,39.653,40.666,26.01,2.16,38.92,2.8,80.2,672.3,41.4,2676696,2.55,int8,raspberrypi,True,200,20,4,11.52,2026-02-08T13:53:49.762850
exp_20260208_135316_4257,eccv_mobilenetv2_Fuzzy_edgetpu,mobilenetv2_int8_ptq_Fuzzy_edgetpu.tflite,mobilenetv2,Fuzzy,edgetpu,raspberrypi,5.819,0.154,5.567,6.349,5.766,5.972,6.243,6.327,171.85,2662.43,14.1,1.0,4.8,669.4,39.4,2855552,2.72,int8,raspberrypi,True,200,20,4,7.07,2026-02-08T13:53:56.875241
exp_20260208_135316_0676,eccv_mobilenetv2_hybrid_cpu,mobilenetv2_int8_ptq_hybrid.tflite,mobilenetv2,hybrid,cpu,raspberrypi,38.371,0.434,38.041,40.377,38.209,39.009,39.444,40.094,26.06,3.0,40.04,24.3,26.8,676.7,44.8,2679264,2.56,int8,raspberrypi,True,200,20,4,12.92,2026-02-08T13:53:29.870953
exp_20260208_135316_c27d,eccv_mobilenetv2_hybrid_edgetpu,mobilenetv2_int8_ptq_hybrid_edgetpu.tflite,mobilenetv2,hybrid,edgetpu,raspberrypi,5.883,0.12,5.576,6.206,5.935,5.994,6.022,6.099,169.98,3913.09,14.28,2.1,26.8,672.8,39.9,2876032,2.74,int8,raspberrypi,True,200,20,4,8.28,2026-02-08T13:53:38.189032
exp_20260208_135316_206c,eccv_mobilenetv2_sbert_cpu,mobilenetv2_int8_ptq_sbert.tflite,mobilenetv2,sbert,cpu,raspberrypi,38.452,0.651,37.992,42.518,38.21,39.115,40.05,40.796,26.01,2.18,39.56,3.7,79.8,670.0,42.4,2675408,2.55,int8,raspberrypi,True,200,20,4,11.53,2026-02-08T13:54:08.466271
exp_20260208_135316_b94f,eccv_mobilenetv2_sbert_edgetpu,mobilenetv2_int8_ptq_sbert_edgetpu.tflite,mobilenetv2,sbert,edgetpu,raspberrypi,5.324,0.61,4.906,7.635,4.953,5.966,7.0,7.089,187.83,2648.0,13.21,0.7,4.9,668.9,39.4,2855552,2.72,int8,raspberrypi,True,200,20,4,6.93,2026-02-08T13:54:15.441248
exp_20260208_135317_1675,eccv_resnet50_Fuzzy_cpu,resnet50_int8_ptq_Fuzzy.tflite,resnet50,Fuzzy,cpu,raspberrypi,186.921,1.905,184.75,192.822,186.053,189.972,191.176,191.935,5.35,3.01,189.34,4.3,96.0,664.1,49.7,24270176,23.15,int8,raspberrypi,True,200,20,4,44.35,2026-02-08T13:59:21.286828
exp_20260208_135317_19f3,eccv_resnet50_Fuzzy_edgetpu,resnet50_int8_ptq_Fuzzy_edgetpu.tflite,resnet50,Fuzzy,edgetpu,raspberrypi,55.426,1.016,54.063,56.7,55.899,56.496,56.544,56.59,18.04,2708.47,81.52,0.6,7.3,664.4,43.8,23904864,22.8,int8,raspberrypi,True,200,20,4,18.19,2026-02-08T13:59:39.526971
exp_20260208_135317_7c12,eccv_resnet50_hybrid_cpu,resnet50_int8_ptq_hybrid.tflite,resnet50,hybrid,cpu,raspberrypi,188.861,1.662,186.902,201.23,188.351,191.117,191.517,193.289,5.29,2.84,188.66,4.5,96.3,669.1,49.7,24274160,23.15,int8,raspberrypi,True,200,20,4,44.84,2026-02-08T13:58:18.563544
exp_20260208_135317_3434,eccv_resnet50_hybrid_edgetpu,resnet50_int8_ptq_hybrid_edgetpu.tflite,resnet50,hybrid,edgetpu,raspberrypi,56.04,0.692,54.082,58.738,56.099,56.558,56.592,56.918,17.84,2666.19,76.88,0.8,8.1,663.4,43.8,23937632,22.83,int8,raspberrypi,True,200,20,4,18.27,2026-02-08T13:58:36.879075
exp_20260208_135317_5bf9,eccv_resnet50_sbert_cpu,resnet50_int8_ptq_sbert.tflite,resnet50,sbert,cpu,raspberrypi,187.971,1.697,186.089,195.102,187.289,190.599,191.599,192.25,5.32,2.86,190.47,4.4,96.0,664.8,49.7,24267928,23.14,int8,raspberrypi,True,200,20,4,44.58,2026-02-08T14:00:24.161133
exp_20260208_135317_094e,eccv_resnet50_sbert_edgetpu,resnet50_int8_ptq_sbert_edgetpu.tflite,resnet50,sbert,edgetpu,raspberrypi,56.219,0.286,55.465,57.405,56.19,56.556,56.607,56.85,17.79,2701.72,79.81,0.9,8.2,664.2,43.8,23904864,22.8,int8,raspberrypi,True,200,20,4,18.38,2026-02-08T14:00:42.584874
