method,strategy,lambda,f1_macro,ci_lower,ci_upper,mcnemar_stat,p_value
baseline,Fuzzy,,0.1867190277854947,0.1682823856197585,0.2035419197384337,,
CORAL,Fuzzy,0.1,0.1911236466256787,0.1721434904864382,0.2085391172636696,6.0025,0.0142856214705429
baseline,hybrid,,0.1555368586480264,0.137275798041337,0.1733394224286449,,
CORAL,hybrid,0.1,0.186911102536175,0.1693824725564923,0.2035506926590592,5.234597156398104,0.0221419355927752
baseline,sbert,,0.1079868259068498,0.0917463020181212,0.1235663387900287,,
CORAL,sbert,0.01,0.215947314107108,0.1923900598698076,0.23573264057784,64.27739726027397,1.1102230246251563e-15
