model,strategy,pv_accuracy,pv_macro_f1,target_accuracy,target_macro_f1,delta_f1
resnet50,Fuzzy,0.9838,0.9768,0.2101,0.1867,0.7901
resnet50,hybrid,0.9643,0.9561,0.1915,0.1555,0.8005
resnet50,sbert,0.9778,0.9755,0.1936,0.1523,0.8232
