class_id,baseline_f1,coral_f1,delta_f1,support,strategy
15,0.0521739130434782,0.3642384105960264,0.3120644975525482,223,hybrid
1,0.0196078431372549,0.1612903225806451,0.1416824794433902,96,hybrid
13,0.078125,0.1993243243243243,0.1211993243243243,101,hybrid
0,0.0674157303370786,0.1801801801801801,0.1127644498431015,83,hybrid
11,0.0848484848484848,0.174757281553398,0.0899087967049132,145,hybrid
6,0.270096463022508,0.3457627118644067,0.0756662488418987,107,hybrid
10,0.1834862385321101,0.2543352601156069,0.0708490215834968,79,hybrid
12,0.0,0.0451127819548872,0.0451127819548872,101,hybrid
3,0.1285714285714285,0.1585365853658536,0.0299651567944251,74,hybrid
4,0.1228813559322034,0.1503267973856209,0.0274454414534175,63,hybrid
14,0.0,0.0,0.0,44,hybrid
17,0.3010752688172043,0.2836879432624113,-0.0173873255547929,71,hybrid
5,0.1627620221948212,0.143646408839779,-0.0191156133550422,182,hybrid
9,0.4381778741865509,0.4090909090909091,-0.0290869650956418,124,hybrid
8,0.2704626334519573,0.205761316872428,-0.0647013165795293,200,hybrid
16,0.1261261261261261,0.0512820512820512,-0.0748440748440748,85,hybrid
2,0.2068965517241379,0.123076923076923,-0.0838196286472148,34,hybrid
7,0.2869565217391304,0.1139896373056994,-0.1729668844334309,157,hybrid
