epoch,val_macro_f1
0,0.2560864237048242
1,0.2786836575395837
2,0.28267479609393487
3,0.3374833367923722
4,0.3875484498556745
5,0.4053259422768095
6,0.43477551403122583
7,0.44794107519300536
8,0.4638843779445283
9,0.48360211453509805
10,0.5020446179293536
11,0.5042127892482183
12,0.5085468709353198
13,0.5007757016281212
14,0.5186295846303295
15,0.5077565744592413
16,0.5416519212337736
17,0.5144465653026187
18,0.5323398579838542
19,0.5281216027638547
20,0.5349296696964835
21,0.5369109151439934
