class_id,baseline_f1,coral_f1,delta_f1,support
0,0.16666666666666666,0.1651376146788991,-0.0015290519877675657,83
1,0.10714285714285714,0.2,0.09285714285714287,96
2,0.13403880070546736,0.1476510067114094,0.01361220600594204,63
3,0.229607250755287,0.31266846361185985,0.08306121285657284,182
4,0.30943396226415093,0.32075471698113206,0.01132075471698113,107
5,0.18796992481203006,0.18719211822660098,-0.0007778065854290861,157
6,0.1889763779527559,0.1686746987951807,-0.020301679157575192,200
7,0.44765342960288806,0.31845238095238093,-0.12920104865050713,124
8,0.16666666666666666,0.09090909090909091,-0.07575757575757575,79
9,0.08383233532934131,0.28205128205128205,0.19821894672194074,145
10,0.0,0.0,0.0,101
11,0.2724014336917563,0.2318840579710145,-0.040517375720741794,101
12,0.0,0.0,0.0,44
13,0.33093525179856115,0.2642369020501139,-0.06669834974844724,223
14,0.15384615384615385,0.12,-0.03384615384615386,85
15,0.20833333333333334,0.24836601307189543,0.04003267973856209,71
