method,strategy,lambda,f1_macro,ci_lower,ci_upper,mcnemar_stat,p_value
baseline,sbert,,0.15233803539669558,0.13535635801484225,0.16863650296516478,,
CORAL,sbert,0.1,0.1874365138556084,0.16732997546876788,0.20499857056749798,12.970588235294118,0.00031642259044628585
