experiment_id,source_dataset,target_dataset,class_space,method,backbone,seed,split,metric,value,source_file,checkpoint,verified,notes
QUANT_H_FP32_acc,n/a,PlantVillage,Hybrid,n/a,ResNet-50,n/a,test,accuracy,0.048,results/T3_quant_fp32_vs_int8_hybrid.csv,,NO,BROKEN — TFLite eval pipeline bug; expected ~0.964
QUANT_H_INT8_acc,n/a,PlantVillage,Hybrid,n/a,ResNet-50,n/a,test,accuracy,0.048,results/T3_quant_fp32_vs_int8_hybrid.csv,,NO,BROKEN — TFLite eval pipeline bug; expected ~0.964
SOTA_Zhang2020,n/a,PlantDoc,n/a,Zhang_et_al_2020,n/a,n/a,test,macro_f1,0.480,scripts/7.5_build_T7_sota.py,,NO,TODO: verify citation — hardcoded without source
SOTA_Singh2021,n/a,PlantDoc,n/a,Singh_et_al_2021,n/a,n/a,test,macro_f1,0.580,scripts/7.5_build_T7_sota.py,,NO,TODO: verify citation — hardcoded without source
E1_thresh_065,PlantVillage,PlantDoc,SBERT(15),CORAL,ResNet-50,42,test,target_macro_f1,0.199,experiments/E1_threshold_sweep/threshold_sweep_results.csv,,YES,threshold=0.65
E1_thresh_080,PlantVillage,PlantDoc,SBERT(13),CORAL,ResNet-50,42,test,target_macro_f1,0.179,experiments/E1_threshold_sweep/threshold_sweep_results.csv,,YES,threshold=0.80; F1 degrades below 0.65 plateau
E5b_DANN_42,PlantVillage,PlantWild_v2,Hybrid(17),DANN,ResNet-50,42,test,target_macro_f1,0.2543,experiments/E5b_plantwild/eval_results.json,models/dann_hybrid_seed42.pt,YES,seed 42
E5b_DANN_43,PlantVillage,PlantWild_v2,Hybrid(17),DANN,ResNet-50,43,test,target_macro_f1,0.2373,experiments/E5b_plantwild/eval_results.json,models/dann_hybrid_seed43.pt,YES,seed 43
E5b_DANN_44,PlantVillage,PlantWild_v2,Hybrid(17),DANN,ResNet-50,44,test,target_macro_f1,0.2389,experiments/E5b_plantwild/eval_results.json,models/dann_hybrid_seed44.pt,YES,seed 44
E5b_DANN_mean,PlantVillage,PlantWild_v2,Hybrid(17),DANN,ResNet-50,42+43+44,test,target_macro_f1_mean,0.2435,experiments/E5b_plantwild/eval_results.json,,YES,mean 3 seeds (+7.1 pp over baseline)
E5b_DANN_std,PlantVillage,PlantWild_v2,Hybrid(17),DANN,ResNet-50,42+43+44,test,target_macro_f1_std,0.0094,experiments/E5b_plantwild/eval_results.json,,YES,std 3 seeds (ddof=1)
CORAL_F_001_reeval,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,42,test,target_macro_f1,0.2042,results/coral_reeval_seed42.json,models/resnet50_coral_lambda_0.01_Fuzzy.pt,YES,RE-EVALUATED from current checkpoint; stored value 0.202 matches
CORAL_F_10_reeval,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,42,test,target_macro_f1,0.190,results/coral_reeval_seed42.json,models/resnet50_coral_lambda_1.0_Fuzzy.pt,YES,RE-EVALUATED; stored 0.231 DOES NOT MATCH (checkpoint overwritten)
CORAL_H_01_reeval,PlantVillage,PlantDoc,Hybrid(18),CORAL,ResNet-50,42,test,target_macro_f1,0.2050,results/coral_reeval_seed42.json,models/resnet50_coral_lambda_0.1_hybrid.pt,YES,RE-EVALUATED; stored 0.187 DOES NOT MATCH
CORAL_S_001_reeval,PlantVillage,PlantDoc,SBERT(15),CORAL,ResNet-50,42,test,target_macro_f1,0.1883,results/coral_reeval_seed42.json,models/resnet50_coral_lambda_0.01_sbert.pt,YES,RE-EVALUATED; stored 0.199 DOES NOT MATCH
CORAL_F_10_s43,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,43,test,target_macro_f1,0.184,results/coral_multiseed_summary.json,models/resnet50_coral_lambda_1.0_Fuzzy_seed43.pt,YES,seed 43 fresh checkpoint
CORAL_H_001_s43,PlantVillage,PlantDoc,Hybrid(18),CORAL,ResNet-50,43,test,target_macro_f1,0.217,results/coral_multiseed_summary.json,models/resnet50_coral_lambda_0.01_hybrid_seed43.pt,YES,seed 43 fresh checkpoint (1-epoch only — 20-epoch in progress)
CORAL_F_10_s44,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,44,test,target_macro_f1,0.220,results/coral_multiseed_summary.json,models/resnet50_coral_lambda_1.0_Fuzzy_seed44.pt,YES,seed 44 fresh checkpoint
CORAL_H_001_s44,PlantVillage,PlantDoc,Hybrid(18),CORAL,ResNet-50,44,test,target_macro_f1,0.208,results/coral_multiseed_summary.json,models/resnet50_coral_lambda_0.01_hybrid_seed44.pt,YES,seed 44 fresh checkpoint
CORAL_S_001_s43,PlantVillage,PlantDoc,SBERT(15),CORAL,ResNet-50,43,test,target_macro_f1,0.154,results/coral_multiseed_summary.json,models/resnet50_coral_lambda_0.01_sbert_seed43.pt,YES,seed 43 fresh checkpoint
CORAL_S_001_s44,PlantVillage,PlantDoc,SBERT(15),CORAL,ResNet-50,44,test,target_macro_f1,0.211,results/coral_multiseed_summary.json,models/resnet50_coral_lambda_0.01_sbert_seed44.pt,YES,seed 44 fresh checkpoint
CORAL_F_mean,PlantVillage,PlantDoc,Fuzzy(16),CORAL,ResNet-50,42+43+44,test,target_macro_f1_mean,0.198,results/coral_multiseed_summary.json,,YES,mean 3 seeds (ddof=1 std=0.020)
CORAL_H_mean,PlantVillage,PlantDoc,Hybrid(18),CORAL,ResNet-50,42+43+44,test,target_macro_f1_mean,0.203,results/coral_multiseed_summary.json,,YES,mean 3 seeds (ddof=1 std=0.012)
CORAL_S_mean,PlantVillage,PlantDoc,SBERT(15),CORAL,ResNet-50,42+43+44,test,target_macro_f1_mean,0.184,results/coral_multiseed_summary.json,,YES,mean 3 seeds (ddof=1 std=0.029)
