method,strategy,lambda,f1_macro,ci_lower,ci_upper,mcnemar_stat,p_value
baseline,hybrid,,0.1555368586480264,0.13727579804133702,0.1733394224286449,,
CORAL,hybrid,0.1,0.18691110253617504,0.16938247255649236,0.20355069265905923,5.234597156398104,0.02214193559277522
