epoch,train_loss,val_loss,val_precision_macro,val_recall_macro,val_f1_macro
0,167.5296508995816,5.789866477782198,0.9734895058267714,0.9694474036017784,0.9699240045001936
1,38.82072397763841,4.481273461016826,0.9830566519230821,0.9824807264539386,0.9826522803426034
2,22.452635002846364,3.500343989548128,0.9831848349226439,0.9853754453602885,0.9840899506993315
3,21.930899645842146,2.72825035820415,0.9878806824603336,0.9841083516287911,0.9857947047932194
4,14.460906705091475,4.547385864313834,0.9852509507151517,0.9808517226913196,0.982619221866001
5,14.318432201092946,3.1161841437494786,0.982370417003608,0.9833385901039434,0.9822538344350549
6,15.828986636450281,3.4473311608454367,0.9869253860487619,0.9856388227807142,0.9860764270655689
7,12.959231971282861,2.8646789317781725,0.9898057262661282,0.9860773053463678,0.9877708986223628
8,10.906537475428195,4.369158466213662,0.9799888564401198,0.9840162121387929,0.9815923979511644
9,10.152291364982375,2.2540993510220915,0.9911787962207068,0.9904022849827556,0.9907680682433205
10,9.70516653321829,8.634613688635154,0.974244411557813,0.9608256224235086,0.9654746613701877
11,8.698309081202751,2.3981358408226185,0.9904330098730884,0.9915566081728835,0.9908999720922588
12,5.073454116616631,3.101230454139152,0.990441016053561,0.9865716234317554,0.9882955071590507
13,12.507176229668403,3.112178922344036,0.9852005446781507,0.9878934700758002,0.9864920884426147
14,7.258888552456483,2.41064138448406,0.9935484765256768,0.9924901519486323,0.9929836224341826
15,6.80421322134498,2.6167389097625176,0.988554389477226,0.9926908934237608,0.9905496701893461
16,4.710783863891265,1.9353121890226106,0.9938455558701793,0.9915989743966278,0.9925908028379735
17,7.075905013184638,2.0086577542908537,0.9906454944823649,0.992235408755004,0.9914014998512515
18,9.967511678458322,1.7990475664749679,0.9928146858434077,0.9923197912213693,0.9925426119806762
19,7.4442442859835865,3.4038260776673965,0.9915528315673416,0.9885041892571576,0.9897656146596479
