,precision,recall,f1-score,support
0,1.0,0.9894736842105263,0.9947089947089947,95.0
1,1.0,0.9761904761904762,0.9879518072289156,42.0
2,0.9694323144104804,0.9955156950672646,0.9823008849557522,223.0
3,0.9863945578231292,0.9602649006622517,0.9731543624161074,151.0
4,0.8875,0.9102564102564102,0.8987341772151899,78.0
5,0.9266666666666666,0.9328859060402684,0.9297658862876255,149.0
6,0.9944444444444445,0.9944444444444445,0.9944444444444445,180.0
7,0.9868421052631579,1.0,0.9933774834437086,150.0
8,0.8764705882352941,0.9933333333333333,0.93125,150.0
9,1.0,0.9963768115942029,0.9981851179673321,276.0
10,0.868421052631579,0.88,0.8741721854304636,150.0
11,0.9565217391304348,0.9063670411985019,0.9307692307692308,267.0
12,0.9627329192546584,0.96875,0.9657320872274143,320.0
13,0.9762845849802372,0.8606271777003485,0.9148148148148149,287.0
14,0.8382352941176471,1.0,0.912,57.0
15,0.9925742574257426,0.9962732919254659,0.9944203347799132,805.0
16,0.9144736842105263,0.9652777777777778,0.9391891891891891,144.0
17,1.0,0.9887005649717514,0.9943181818181818,177.0
accuracy,0.9643339637935693,0.9643339637935693,0.9643339637935693,0.9643339637935693
macro avg,0.9520552338107776,0.9619298619651678,0.95607162126096,3701.0
weighted avg,0.9655046726601072,0.9643339637935693,0.9642738712627899,3701.0
