lambda,pv_accuracy,pv_macro_f1,target_accuracy,target_macro_f1,delta_f1
0.01,0.9632665452337583,0.962442894780372,0.23747680890538034,0.19856584827217408,0.763877046508198
0.1,0.9650880388585307,0.964726799808466,0.23314780457637602,0.1874365138556084,0.7772902859528577
1.0,0.9608378870673953,0.952255548282046,0.23871366728509585,0.1924304199986462,0.7598251282833998
10.0,0.9623557984213722,0.9543875122542935,0.23685837971552257,0.19353229226483395,0.7608552199894596
