class_id,baseline_f1,coral_f1,delta_f1,support
0,0.06741573033707865,0.18018018018018017,0.11276444984310152,83
1,0.0196078431372549,0.16129032258064516,0.14168247944339024,96
2,0.20689655172413793,0.12307692307692308,-0.08381962864721484,34
3,0.12857142857142856,0.15853658536585366,0.029965156794425102,74
4,0.1228813559322034,0.1503267973856209,0.027445441453417513,63
5,0.16276202219482122,0.143646408839779,-0.01911561335504222,182
6,0.27009646302250806,0.34576271186440677,0.07566624884189871,107
7,0.28695652173913044,0.11398963730569948,-0.17296688443343095,157
8,0.2704626334519573,0.205761316872428,-0.06470131657952932,200
9,0.43817787418655096,0.4090909090909091,-0.029086965095641848,124
10,0.1834862385321101,0.2543352601156069,0.07084902158349682,79
11,0.08484848484848485,0.17475728155339806,0.08990879670491321,145
12,0.0,0.045112781954887216,0.045112781954887216,101
13,0.078125,0.19932432432432431,0.12119932432432431,101
14,0.0,0.0,0.0,44
15,0.05217391304347826,0.36423841059602646,0.3120644975525482,223
16,0.12612612612612611,0.05128205128205128,-0.07484407484407483,85
17,0.3010752688172043,0.28368794326241137,-0.017387325554792943,71
