epoch,train_loss,val_loss,val_precision_macro,val_recall_macro,val_f1_macro
0,123.86107332445681,12.594475081074052,0.9515509083667992,0.9586144972155484,0.9541997627608025
1,50.059802991338074,9.466320066771004,0.964799344232122,0.9635932894370481,0.9629568513045794
2,38.235455761896446,7.2400135251482425,0.9739477056401074,0.9684229592491026,0.9701138385849336
3,30.584416826895904,7.7809623496141285,0.9671644847105184,0.9687041142497289,0.9672460434202375
4,26.056815966963768,4.017328193568574,0.9870056617153308,0.9750368025026283,0.9803654251473236
5,26.230553222994786,5.104499045513876,0.9793473569549502,0.9839775985521968,0.9813096066412427
6,22.29651716715307,3.2074553920662083,0.987057556051147,0.9892730737847533,0.9880315371867753
7,19.274066137208138,4.148761151346804,0.9806389841129666,0.9843030150991819,0.9819122360829536
8,20.97138807286683,5.030771500492733,0.9844865517628486,0.9769629486630613,0.9802020982226668
9,16.192607252363814,3.3746614428238004,0.9869976822171246,0.9897418189952345,0.9883247782742504
10,16.80939756774751,2.9844094875188585,0.98855513093535,0.9903013512655813,0.9893562275098707
11,12.070460056711454,2.576573321276939,0.990901590793221,0.9879252550793957,0.9892858244202345
12,21.444779256373295,3.580222324029819,0.9861052465543866,0.9860473028038291,0.9859611034664402
13,12.839833039528457,5.020112490912595,0.988560392935613,0.9884413611632596,0.9884005162527011
14,12.311684718104516,5.063837208682969,0.977247999984348,0.9778956591053275,0.977150789331027
15,17.512194223338156,8.735998621027193,0.975316171884533,0.9608118019309764,0.967215150278958
