class_id,f1_baseline,f1_coral,delta_f1
15,0.1935483870967742,0.41456582633053224,0.22101743923375805
11,0.053691275167785234,0.19811320754716982,0.14442193237938458
4,0.11371237458193979,0.24561403508771928,0.1319016605057795
10,0.11666666666666667,0.21739130434782608,0.10072463768115941
12,0.0,0.08383233532934131,0.08383233532934131
16,0.1111111111111111,0.175,0.06388888888888888
6,0.2156448202959831,0.27710843373493976,0.06146361343895668
17,0.24489795918367346,0.2875816993464052,0.04268374016273174
7,0.11299435028248588,0.15458937198067632,0.041595021698190446
1,0.06,0.09259259259259259,0.03259259259259259
2,0.18487394957983194,0.19801980198019803,0.013145852400366087
3,0.12698412698412698,0.13513513513513514,0.008151008151008166
8,0.13513513513513514,0.13675213675213677,0.0016170016170016233
14,0.0,0.0,0.0
9,0.543046357615894,0.5245901639344263,-0.01845619368146778
13,0.27884615384615385,0.2456813819577735,-0.03316477188838035
5,0.23354564755838642,0.1981981981981982,-0.035347449360188216
0,0.23121387283236994,0.14545454545454545,-0.08575932737782449
