domain,model,accuracy,macro_f1,latency_ms,size_mb
pv,fp32,0.047824912185895706,0.00507134261646897,53.111425189513255,89.66035079956055
pv,int8,0.047824912185895706,0.00507134261646897,47.135644266973216,23.06755828857422
target,fp32,0.03605891315388522,0.003867102396514161,52.88943098910028,89.66035079956055
target,int8,0.03605891315388522,0.003867102396514161,46.29527281358679,23.06755828857422
