method,f1_macro,ci_lower,ci_upper,mcnemar_stat,p_value
baseline,0.10798682590684981,0.09174630201812123,0.12356633879002876,,
CORAL,0.21594731410710802,0.1923900598698076,0.23573264057784005,64.27739726027397,1.1102230246251565e-15
