lambda,pv_accuracy,pv_macro_f1,target_accuracy,target_macro_f1,delta_f1
0.01,0.9551472574979735,0.9479861229467159,0.21990858303707467,0.1997107969427281,0.7482753260039878
0.1,0.9505539043501756,0.943126490125837,0.21584560690705942,0.18691110253617504,0.756215387589662
1.0,0.9673061334774385,0.9604109251473619,0.22955815134586086,0.19291122320958257,0.7674997019377794
10.0,0.9605512023777357,0.9556217928031882,0.22905027932960895,0.1875799001150635,0.7680418926881246
