method,f1_macro,ci_lower,ci_upper,mcnemar_stat,p_value
baseline,0.14180001591706173,0.12692763334183627,0.15700584245962548,,
CORAL,0.24104512650826398,0.22146742759929203,0.2590210295359706,88.28337874659401,0.0
