class_id,baseline_f1,coral_f1,delta_f1,support
0,0.18181818181818182,0.2638888888888889,0.08207070707070707,83
1,0.1016949152542373,0.05454545454545454,-0.04714946070878275,96
2,0.17094017094017094,0.273972602739726,0.10303243179955507,34
3,0.25316455696202533,0.15037593984962405,-0.10278861711240128,74
4,0.18518518518518517,0.2348993288590604,0.04971414367387522,157
5,0.00980392156862745,0.11403508771929824,0.1042311661506708,200
6,0.2727272727272727,0.4134078212290503,0.14068054850177758,124
7,0.13215859030837004,0.21739130434782608,0.08523271403945604,79
8,0.1694915254237288,0.29118773946360155,0.12169621403987274,145
9,0.0,0.08433734939759036,0.08433734939759036,101
10,0.21800947867298578,0.22982885085574573,0.01181937218275994,101
11,0.0,0.0,0.0,44
12,0.31802120141342755,0.264026402640264,-0.053994798773163544,223
13,0.07142857142857142,0.05042016806722689,-0.021008403361344533,85
14,0.2006269592476489,0.16923076923076924,-0.031396190016879655,71
