epoch,train_loss,val_loss,val_precision_macro,val_recall_macro,val_f1_macro
0,153.21081021614373,21.08459503238555,0.912199433406606,0.9154053616316677,0.9085573485422651
1,83.69605234730989,8.60923421192274,0.973449823279055,0.9711669713900838,0.971557271370714
2,52.87351402454078,16.690427476132754,0.9264217378996892,0.9442657179718625,0.9305574646467901
3,43.71512256748974,8.325654280009985,0.9681430133332823,0.9725499391576867,0.9700788673267179
4,40.90572442521807,8.332545452256454,0.9651731440829607,0.9668141542269882,0.9649054807750679
5,40.417810672312044,7.608460362190726,0.9702112627947534,0.9738796656409154,0.9713615800795415
6,27.409277869854122,4.283547348719594,0.9833788477784727,0.9786155450549193,0.9808784388960431
7,32.68993298045825,7.064868670253418,0.9763611491426715,0.9700859032680396,0.9724213505022629
8,29.632970477512572,5.34852803167648,0.9828447992192252,0.9779298641145531,0.9802189640107976
9,28.275969447218813,6.7969521614325,0.9756664532511821,0.9737407568842991,0.9743466158696835
10,26.788615756260697,5.913653186202993,0.9791236956486891,0.9767618773498769,0.9775953576870907
11,21.87930446327664,4.557229945165091,0.9875376414265303,0.9846693695793463,0.9859650067584034
12,23.11758258222835,5.5902608817095825,0.9823681178700073,0.9851729365997044,0.9832943378620035
13,22.554174479155336,7.914843253176896,0.9705848136871453,0.9758909498387183,0.9718920134711428
14,21.165833081613528,3.3146447842227644,0.988552827046837,0.9868092154028646,0.9874850510132569
15,18.753605657693697,5.874957248902206,0.9767377369204114,0.980176285671796,0.9777550815909603
16,17.23629306499788,3.8945446543912112,0.9844342597479622,0.9827202439747943,0.9834500207589516
17,17.052164229971822,4.241929036682677,0.9831718319711957,0.9836097305552898,0.9831906063911648
18,18.82147333645844,3.371670194515616,0.9913880391455858,0.9890959529330264,0.9901825209786755
19,17.32399651066953,4.673673490680642,0.9732619846995915,0.97521082563931,0.9729371850234981
20,16.80356500459493,5.1655460644069535,0.9798930434581653,0.98153923799963,0.9804163956573988
21,10.547033878399816,9.193506728623987,0.9698395192559021,0.9690160136286803,0.9685772599596891
22,16.96768640220398,3.618759271578339,0.9893558301873376,0.9872815889955562,0.9881946911633996
23,9.586332314895117,5.644614608607299,0.9852101801256484,0.9809257028066116,0.9825761051406836
