epoch,train_loss,val_loss,val_precision_macro,val_recall_macro,val_f1_macro
0,154.9865788500756,3.5045501050772145,0.9892607720168297,0.9902299697359704,0.9897310845170773
1,29.097585479612462,2.571571877346287,0.9941818896860867,0.9914509701844979,0.992766705054979
2,20.893475870601833,3.2004360598457424,0.9899274724805088,0.9876119059916988,0.9886401705657518
3,14.456013520684792,4.949696623907357,0.9905538589716976,0.9832456119573653,0.9866922113121642
4,13.321273081965046,4.243545767845262,0.9863010314888438,0.9825956219194278,0.9842235983218147
5,9.525310033423011,2.5768014909832573,0.9930602460834002,0.991542476984609,0.9922550013746138
6,11.792557399094221,2.0535986289203265,0.9955073299526276,0.9941131189654123,0.9947879778894958
7,9.266953966951405,2.1688327076632845,0.995130390051259,0.9935254508937607,0.9942743343566348
8,8.975004563664697,1.501406398915229,0.9951452329638055,0.9953264163564045,0.9952212613154233
9,8.045950296829687,1.9700893642056805,0.9946412887634445,0.9944389599565634,0.9945098012024327
10,7.172611783367756,3.022276302720119,0.9930624167521133,0.9925860201705776,0.9928005622363268
11,7.629616525246092,5.408550438527689,0.9849752247318111,0.9858241100727657,0.9849399077421579
12,9.293082266609417,2.0340613662388765,0.9959970217795804,0.9939332867575741,0.9949218977971349
13,7.886549634109542,1.8797772436404543,0.9927962761463809,0.9947428671550109,0.9937374594506895
