epoch,val_macro_f1
0,0.2703528258300757
1,0.2732745930843551
2,0.27088361520879917
3,0.36293992140325404
4,0.3996935713998969
5,0.4251667530875627
6,0.4343164524775717
7,0.4397498063582936
8,0.468893239402541
9,0.46644764301621167
10,0.4967071388203787
11,0.4948842846155404
12,0.49946648398918003
13,0.5214399207978313
14,0.5180493390856463
15,0.5247529455549493
16,0.527464237121653
17,0.531913474307016
18,0.5303250283266955
19,0.5360005291714266
20,0.5205764561506885
21,0.531657441559689
22,0.5229066288141263
23,0.5316389816480547
24,0.5303453361254615
