method,f1_macro,ci_lower,ci_upper,mcnemar_stat,p_value
baseline,0.164217343774351,0.14747909007467705,0.1792485182361464,,
CORAL,0.2072344538727564,0.18833956567058857,0.22339039564547394,19.740437158469945,8.87044321884467e-06
