method,strategy,lambda,f1_macro,ci_lower,ci_upper,mcnemar_stat,p_value
baseline,Fuzzy,,0.1867190277854947,0.1682823856197585,0.20354191973843372,,
CORAL,Fuzzy,0.1,0.19112364662567874,0.1721434904864382,0.20853911726366964,6.0025,0.014285621470542909
