epoch,train_loss,val_loss,val_precision_macro,val_recall_macro,val_f1_macro
0,151.71909871697426,8.594405745679978,0.9675020744672985,0.9677536073705407,0.9670495369709661
1,62.44393351441249,10.25428905883382,0.9707217609225941,0.9621474756126154,0.9658745635310425
2,50.65297702769749,8.466114785895115,0.9633713696707308,0.9716651857997122,0.9657665818120132
3,41.83538533153478,3.934327303277314,0.9832742522798843,0.9802107012035091,0.9816221067859568
4,32.04208447004203,6.762009934806223,0.9754064365676146,0.9774205737007838,0.9763106881763424
5,31.553872849792242,5.458689562512291,0.9783829645793194,0.97131990425622,0.9745538305807396
6,30.46773250156548,6.241473053227757,0.9793628709936991,0.9750600689255116,0.9763912938382295
7,29.49407201592112,3.939600488028418,0.9803416642330252,0.9835730407027309,0.981827247213525
8,23.709128877540934,5.014788963713016,0.9816329865132705,0.9727301529951082,0.9767442058863013
9,23.408723508313415,3.968727078399535,0.9828457338381542,0.9870898919094692,0.9848152764102528
10,19.2119751409773,4.079811427169602,0.978942958018645,0.9821030451381088,0.9799311286020429
11,24.46008101158077,5.204648115699499,0.9784382519793154,0.98002240494231,0.9789896278181952
12,22.584354088961845,4.4621364169409965,0.9744016929836581,0.9822774790297429,0.9778422323459837
13,20.16007733742299,4.6423521453331755,0.983407014166058,0.9852187941996964,0.9842127637154745
14,22.454166277777404,3.538296231954959,0.9848066695757449,0.9866779859502137,0.9855270891634242
15,17.240172107216495,4.846232390084348,0.9787094520463021,0.9855103511528568,0.981732488511866
16,15.984144619011204,7.321229460541371,0.9740930490251711,0.9807024677009972,0.9765680716390338
17,20.923263352939102,3.4805071611376945,0.9858541581278105,0.987700204024136,0.9867047737452251
18,11.409132862354454,4.086257573976258,0.9798572073670978,0.9868679187760626,0.9829320333182283
19,18.103895881831704,3.535324419067031,0.9857026368558368,0.9844902118232169,0.9850003895830296
20,14.566927530666362,3.4502069073437234,0.9874762061875294,0.9911084808012252,0.989178599818066
21,15.187493851095496,3.784792831411428,0.9847051539476556,0.9870561341584901,0.9857176600042415
22,13.384729085271829,3.9339096756336716,0.9841188122656218,0.9872386448667866,0.9855199908219636
23,13.579905645174222,4.565456082794157,0.9806911744173797,0.9858086696895683,0.9826032557123752
24,12.609989035641775,4.344051925385841,0.9835671815100768,0.9839530002604372,0.9835819498101637
25,10.11503182337583,5.068135212364666,0.9805349783497103,0.985345573256655,0.9824583124864255
