,precision,recall,f1-score,support
0,0.9895833333333334,1.0,0.9947643979057592,95.0
1,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0
2,0.8780487804878049,0.9230769230769231,0.9,78.0
3,0.958904109589041,0.9395973154362416,0.9491525423728814,149.0
4,1.0,0.9833333333333333,0.9915966386554622,180.0
5,1.0,1.0,1.0,150.0
6,0.9930555555555556,0.9533333333333334,0.9727891156462585,150.0
7,1.0,1.0,1.0,276.0
8,0.954248366013072,0.9733333333333334,0.9636963696369637,150.0
9,0.9923371647509579,0.9700374531835206,0.9810606060606061,267.0
10,0.9875776397515528,0.99375,0.9906542056074766,320.0
11,0.9655172413793104,0.975609756097561,0.9705372616984402,287.0
12,0.9821428571428571,0.9649122807017544,0.9734513274336283,57.0
13,0.9925925925925926,0.9987577639751553,0.9956656346749226,805.0
14,0.9722222222222222,0.9722222222222222,0.9722222222222222,144.0
15,0.9943820224719101,1.0,0.9971830985915493,177.0
accuracy,0.9837691614066727,0.9837691614066727,0.9837691614066727,0.9837691614066727
macro avg,0.9773001475925428,0.976509636930241,0.9768102435435404,3327.0
weighted avg,0.9839427820755484,0.9837691614066727,0.98379388521576,3327.0
