model,strategy,accuracy,precision_macro,recall_macro,f1_macro
resnet50,Fuzzy,0.9837691614066727,0.9773001475925428,0.976509636930241,0.9768102435435404
efficientnet,Fuzzy,0.9945897204688909,0.9933893601017738,0.9919607688128566,0.9926022673522962
mobilenet,Fuzzy,0.9906822963630899,0.9886311090113998,0.9882875486435334,0.98839761664709
resnet50,hybrid,0.9643339637935693,0.9520552338107776,0.9619298619651678,0.95607162126096
efficientnet,hybrid,0.9924344771683329,0.9870986795404278,0.9886667431614214,0.9877930486454153
mobilenet,hybrid,0.9883815185085112,0.9845485917508958,0.9847073999544109,0.9845843134502208
resnet50,sbert,0.9778384942319368,0.9762922357219832,0.9751668471088948,0.9754942411417351
efficientnet,sbert,0.9930176077717061,0.9924144243205314,0.993535135524077,0.9929487669192286
mobilenet,sbert,0.9890710382513661,0.9902952594774919,0.9874143985920488,0.9888162628043481
